section_id;title;section_number;page_start;level;confidence;text
toc1_e0;0.0 A5114-OMI-01 Rev 02 Operating and maintenance instructions;0.0;-1;1;0.95;
toc1_e1;Section 1 Service contact details;1;6;1;0.95;
toc1_e2;0.00 Operating and maintenance instructions;0.00;-1;2;0.95;
toc1_e3;0.01 OMI index A5114;0.01;6;2;0.95;
toc1_e4;1.01 Contact details;1.01;9;2;0.95;
toc1_e5;1.02 Standard warning;1.02;15;2;0.95;
toc1_e6;1.03 Standard safety precautions;1.03;20;2;0.95;
toc1_e7;1.04 Standard warranty & support information;1.04;26;2;0.95;
toc1_e8;1.05 Plan history log;1.05;28;2;0.95;
toc1_e9;1.06 Oil consumption log;1.06;35;2;0.95;
toc1_e10;1.07 Utilities Consumption Schedule;1.07;39;2;0.95;
toc1_e11;1.08 Cause & Effect Chart;1.08;45;2;0.95;
toc1_e12;Section 2 Descriptions;2;65;1;0.95;
toc1_e13;2.01 Control Philosophy;2.01;65;2;0.95;
toc1_e14;Section 3 Technical data;3;89;1;0.95;
toc1_e15;3.01 Technical Schedule;3.01;89;2;0.95;
toc1_e16;3.02 Compressor Data Sheet;3.02;107;2;0.95;
toc1_e17;3.03 Compressor motor data sheet;3.03;116;2;0.95;
toc1_e18;3.04 Oil Pump Data Sheet;3.04;155;2;0.95;
toc1_e19;3.05 Oil Pump Motor Data Sheet;3.05;157;2;0.95;
toc1_e20;3.06 Oil Cooler Data Sheet;3.06;160;2;0.95;
toc1_e21;3.07 Oil separator data sheet;3.07;166;2;0.95;
toc1_e22;3.08 Receiver data sheet;3.08;170;2;0.95;
toc1_e23;3.09 Purger data sheet;3.09;171;2;0.95;
toc1_e24;3.10 Economiser Data Sheet;3.10;174;2;0.95;
toc1_e25;3.11 Air Cooled Condenser data sheet;3.11;179;2;0.95;
toc1_e26;3.12 Air Cooled Condenser Fan Data Sheet;3.12;183;2;0.95;
toc1_e27;3.13 Condenser Fan Motor Data Sheet;3.13;190;2;0.95;
toc1_e28;3.14 Air Cooled Condenser Vibration Switch Data Sheet;3.14;193;2;0.95;
toc1_e29;3.15 Final stage oil separator data sheet;3.15;-1;2;0.95;
toc1_e30;3.16 Control valve data sheet - A;3.16;-1;2;0.95;
toc1_e31;3.17 Controls and instrumentation schedule;3.17;-1;2;0.95;
toc1_e32;3.18 IO list;3.18;-1;2;0.95;
toc1_e33;3.19 Trip alarm setting schedule;3.19;-1;2;0.95;
toc1_e34;3.20 First up alarm setting schedule;3.20;-1;2;0.95;
toc1_e35;3.21 Instrument data sheet;3.21;-1;2;0.95;
toc1_e36;3.21 Instrument data sheets;3.21;-1;2;0.95;
toc1_e37;3.22 Noise data sheet;3.22;-1;2;0.95;
toc1_e38;3.23 Piping Specification;3.23;-1;2;0.95;
toc1_e39;3.24 Painting Specifications;3.24;-1;2;0.95;
toc1_e40;Section 4 Maintenance data;4;-1;1;0.95;
toc1_e41;4.01 Maintenance schedule;4.01;-1;2;0.95;
toc1_e42;4.02 Lubrication Schedule;4.02;-1;2;0.95;
toc1_e43;4.03 Lube oil data sheet & MSDS;4.03;-1;2;0.95;
toc1_e44;4.04 Oil filter change-over procedure;4.04;-1;2;0.95;
toc1_e45;4.05 Oil fill procedure;4.05;-1;2;0.95;
toc1_e46;4.06 Commissioning spare parts list;4.06;-1;2;0.95;
toc1_e47;4.07 2 year spare parts list;4.07;-1;2;0.95;
toc1_e48;4.08 Coalescer filter change procedure;4.08;-1;2;0.95;
toc1_e49;4.09 Final stage filter change procedure;4.09;-1;2;0.95;
toc1_e50;Section 5 Equipment manuals;5;-1;1;0.95;
toc1_e51;5.01 Refrigeration compressor - Howden;5.01;-1;2;0.95;
toc1_e52;5.02 Compressor motor - Siemens;5.02;-1;2;0.95;
toc1_e53;5.03 Oil pump - Viking;5.03;-1;2;0.95;
toc1_e54;5.04 Oil pump motor - Weg;5.04;-1;2;0.95;
toc1_e55;5.05 Lube oil heater- Heatex;5.05;-1;2;0.95;
toc1_e56;5.06 Condenser, fans & fan motors - Jord;5.06;-1;2;0.95;
toc1_e57;5.07 Purger, Economiser & Oil Cooler - Flotech;5.07;-1;2;0.95;
toc1_e58;Section 6 Instrumentation manuals;6;-1;1;0.95;
toc1_e59;6.01 Pressure, Differentail & Level Transmitters;6.01;-1;2;0.95;
toc1_e60;6.02 Temperature Transmitter - Rosemount;6.02;-1;2;0.95;
toc1_e61;Section 7 Valves;7;-1;1;0.95;
toc1_e62;7.01 Level control valves;7.01;-1;2;0.95;
toc1_e63;7.02 Pressure safety valves;7.02;-1;2;0.95;
toc1_e64;7.03 Oil pressure regulating valve;7.03;-1;2;0.95;
toc1_e65;7.04 Solenoid valve;7.04;-1;2;0.95;
toc1_e66;7.05 Regulating valves;7.05;-1;2;0.95;
toc1_e67;7.06 Oil temperature regulating valve;7.06;-1;2;0.95;
