position;title;page_start;source;page_end
16;3.02 Compressor Data Sheet;107;bookmark;115
17;3.03 Compressor motor data sheet;116;bookmark;154
18;3.04 Oil Pump Data Sheet;155;bookmark;156
19;3.05 Oil Pump Motor Data Sheet;157;bookmark;159
20;3.06 Oil Cooler Data Sheet;160;bookmark;165
21;3.07 Oil separator data sheet;166;bookmark;169
22;3.08 Receiver data sheet;170;bookmark;170
23;3.09 Purger data sheet;171;bookmark;173
24;3.10 Economiser Data Sheet;174;bookmark;178
25;3.11 Air Cooled Condenser data sheet;179;bookmark;182
26;3.12 Air Cooled Condenser Fan Data Sheet;183;bookmark;189
27;3.13 Condenser Fan Motor Data Sheet;190;bookmark;192
28;3.14 Air Cooled Condenser Vibration Switch Data Sheet;193;bookmark;198
29;3.15 Final stage oil separator data sheet;199;ocr_haut_de_page_pytesseract;202
30;3.16 Control valve data sheet - A;203;ocr_haut_de_page_pytesseract;210
