page,field,ground_truth,prediction,correct,method
,family,,,True,rules
,asset_name,Rotor,,False,rules
,reference,C4362,,False,rules
,power,,,True,rules
,outlier,,,True,rules
,manufacturer,CoFimco,,False,rules
,asset_diagram,True,,False,rules
,family,,,True,ocr
,asset_name,Rotor,,False,ocr
,reference,C4362,,False,ocr
,power,,,True,ocr
,outlier,,,True,ocr
,manufacturer,CoFimco,,False,ocr
,asset_diagram,True,,False,ocr
,family,,,True,table
,asset_name,Rotor,,False,table
,reference,C4362,,False,table
,power,,,True,table
,outlier,,,True,table
,manufacturer,CoFimco,,False,table
,asset_diagram,True,,False,table
,family,,,True,llm
,asset_name,Rotor,,False,llm
,reference,C4362,,False,llm
,power,,,True,llm
,outlier,,,True,llm
,manufacturer,CoFimco,,False,llm
,asset_diagram,True,,False,llm
,family,17,,False,rules
,asset_name,Three-phase Induction Motor - Squirrel Cage,,False,rules
,reference,175132/2011,,False,rules
,power,30 kW,30.0 kW,True,rules
,outlier,,,True,rules
,manufacturer,WEG Indústrias S.A.,,False,rules
,asset_diagram,False,,False,rules
,family,17,,False,ocr
,asset_name,Three-phase Induction Motor - Squirrel Cage,,False,ocr
,reference,175132/2011,,False,ocr
,power,30 kW,,False,ocr
,outlier,,,True,ocr
,manufacturer,WEG Indústrias S.A.,,False,ocr
,asset_diagram,False,,False,ocr
,family,17,,False,table
,asset_name,Three-phase Induction Motor - Squirrel Cage,,False,table
,reference,175132/2011,,False,table
,power,30 kW,,False,table
,outlier,,,True,table
,manufacturer,WEG Indústrias S.A.,,False,table
,asset_diagram,False,,False,table
,family,17,,False,llm
,asset_name,Three-phase Induction Motor - Squirrel Cage,,False,llm
,reference,175132/2011,,False,llm
,power,30 kW,,False,llm
,outlier,,,True,llm
,manufacturer,WEG Indústrias S.A.,,False,llm
,asset_diagram,False,,False,llm
