field,method,values_found,correct,total,coverage,accuracy
asset_diagram,llm,0,0,2,0.0,0.0
asset_diagram,ocr,0,0,2,0.0,0.0
asset_diagram,rules,0,0,2,0.0,0.0
asset_diagram,table,0,0,2,0.0,0.0
asset_name,llm,0,0,2,0.0,0.0
asset_name,ocr,0,0,2,0.0,0.0
asset_name,rules,0,0,2,0.0,0.0
asset_name,table,0,0,2,0.0,0.0
family,llm,0,1,2,0.0,0.5
family,ocr,0,1,2,0.0,0.5
family,rules,0,1,2,0.0,0.5
family,table,0,1,2,0.0,0.5
manufacturer,llm,0,0,2,0.0,0.0
manufacturer,ocr,0,0,2,0.0,0.0
manufacturer,rules,0,0,2,0.0,0.0
manufacturer,table,0,0,2,0.0,0.0
outlier,llm,0,2,2,0.0,1.0
outlier,ocr,0,2,2,0.0,1.0
outlier,rules,0,2,2,0.0,1.0
outlier,table,0,2,2,0.0,1.0
power,llm,0,1,2,0.0,0.5
power,ocr,0,1,2,0.0,0.5
power,rules,1,2,2,0.5,1.0
power,table,0,1,2,0.0,0.5
reference,llm,0,0,2,0.0,0.0
reference,ocr,0,0,2,0.0,0.0
reference,rules,0,0,2,0.0,0.0
reference,table,0,0,2,0.0,0.0
